hedId	rdfs:label	Level	omn:SubClassOf	Attributes	dc:description	omn:EquivalentTo
HED_0062031	Portuguese	3	Romance-language		A Romance language spoken in Portugal and part of South America (Brazil) and is used as administrative language in other parts of the world.	
HED_0062032	Romanian	3	Romance-language		A Romance language spoken in Romania and Moldova as well as small communities in Bulgaria, Hungary, Serbia and Ukraine.	
HED_0062033	Spanish	3	Romance-language		A Romance language spoken in Spain and large parts of the Americas.	
HED_0062034	Slavic-language	2	Indo-European-language		A system of communication belonging to the family of languages originating in Eastern Europe.	
HED_0062035	Bulgarian	3	Slavic-language		A Slavic language spoken mainly in Bulgaria.	
HED_0062036	Croatian	3	Slavic-language		A Slavic language spoken mainly in Croatia, Bosnia and Herzegovina, Montenegro and parts of Serbia.	
HED_0062037	Czech	3	Slavic-language		A Slavic language spoken mainly in the Czech Republic.	
HED_0062038	Macedonian	3	Slavic-language		A Slavic language spoken mainly in North Macedonia.	
HED_0062039	Polish	3	Slavic-language		A Slavic language spoken mainly in Poland.	
HED_0062040	Russian	3	Slavic-language		A Slavic language spoken mainly in Europe and used in parts of Eastern Europe, West and Central Asia.	
HED_0062041	Slovak	3	Slavic-language		A Slavic language spoken mainly in Slovakia.	
HED_0062042	Ukrainian	3	Slavic-language		A Slavic language spoken mainly in Ukraine.	
HED_0062043	Japonic	1	Language		A system of communication belonging to the family of languages mainly spoken in Japan and the Ryukyu Islands.	
HED_0062044	Japanese	2	Japonic		A Japonic language mainly spoken in Japan.	
HED_0062045	Koreanic	1	Language		A system of communication belonging to the family of languages mainly spoken in Korea.	
HED_0062046	Korean	2	Koreanic		A Koreanic language mainly spoken in Korea.	
HED_0062047	Sino-Tibetan-language	1	Language		A system of communication belonging to the family of languages spoken in Asia.	
HED_0062048	Burmo-Qiangic-language	2	Sino-Tibetan-language		A system of communication belonging to the family of language mainly spoken in Southwest China and Myanmar.	
HED_0062049	Burmese	3	Burmo-Qiangic-language		A Burmo Qiangic language mainly spoken in Myanmar.	
HED_0062050	Sinitic	2	Sino-Tibetan-language		A system of communication belonging to the family of languages mainly spoken in China.	
HED_0062051	Gan-Chinese	3	Sinitic		A Sinitic language mainly spoken in Jiangxi province , and parts of Hunan, Hubei, Anhui, and Fujian.	
HED_0062052	Mandarin-Chinese	3	Sinitic		A group of Chinese language dialects that are natively spoken in most of northern and southwestern China.	
HED_0062053	Standard-Chinese	4	Mandarin-Chinese		A modern standard form of Mandarin Chinese which is the official Language of mainland China.	
HED_0062054	Wu-Chinese	3	Sinitic		A Sinitic language mainly spoken in Shanghai, Zhejiang Province, and the part of Jiangsu Province south of the Yangtze River.	
HED_0062055	Xiang-Chinese	3	Sinitic		A Sinitic language mainly spoken in Hunan province, northern Guangxi and parts of Guizhou, Guangdong, Sichuan, Jiangxi and Hubei provinces.	
HED_0062056	Yue-Chinese	3	Sinitic		A group of Sinitic languages mainly spoken Southern China.	
HED_0062057	Cantonese	4	Yue-Chinese		A Sinitic Language mainly spoken southeastern China, Hong Kong and Macau.	
HED_0062058	Tai-Kadai	1	Language		A system of communication belonging to the family of languages mainly spoken in Southeast Asia, Southern China, and Northeastern India.	
HED_0062059	Thai	2	Tai-Kadai		A Tai Kadai language mainly spoken in Central Thailand.	
HED_0062060	Turkic	1	Language		A system of communication belonging to the family of languages spoken in parts of Eurasia such as Eastern Europe, Southern Europe, Central Asia, East Asia, North Asia and West Asia.	
HED_0062061	Turkish	2	Turkic		A Turkish language mainly spoken in Turkey and Northern Cyprus.	
HED_0062062	Uralic	1	Language		A system of communication belonging to the family of languages mainly spoken in part of Europe and North Asia.	
HED_0062063	Estonian	2	Uralic		An Uralic Language mainly spoken in Estonia.	
HED_0062064	Finnish	2	Uralic		An Uralic language mainly spoken in Finland.	
HED_0062065	Hungarian	2	Uralic		An Uralic Language mainly spoken in Hungary.	
HED_0062066	Bigram	0	Language-item	rooted=Language-item	A pair of two consecutive written units such as letters, syllables, or words.	
HED_0062067	Letter-character	0	Character	rooted=Character	A character that is the smallest meaningful or functional unit in an alphabetic writing system.	
HED_0062068	Logogram	0	Character	rooted=Character	A character representing a morpheme, word or phrase, such as those used in shorthand and some writing systems.	
HED_0062069	Noncharacter	0	Character	rooted=Character	A character which does not hold any meaning or contain any regularity in a writing system.	
HED_0062070	Pseudocharacter	0	Character	rooted=Character	A logogram-like character that contains components/radicals of existing logograms but which is not a known logogram.	
HED_0062071	Grapheme	0	Language-item	rooted=Language-item	The smallest contrastive or meaningful unit in writing which matches either a phoneme, a syllable or a morpheme.	
HED_0062072	Lemma	0	Language-item	rooted=Language-item	The canonical form, dictionary form, or citation form of a set of word forms.	
HED_0062073	Mora	0	Language-item	rooted=Language-item	A basic timing unit in the phonology of some spoken languages, equal to or shorter than a syllable.	
HED_0062074	Morpheme	0	Language-item	rooted=Language-item, suggestedTag=Morpheme-property	A meaningful unit of a language that cannot be further divided.	Language-item and (suggestedTag some Morpheme-property)
HED_0062075	Phone	0	Language-item	rooted=Language-item, relatedTag=Phoneme	A minimal speech segment that possesses distinct physical or perceptual properties.	Language-item and (relatedTag some Phoneme)
HED_0062076	Consonant	1	Phone		A basic speech sound which is produced with an obstructed vocal tract and which can be combined with a vowel to form a syllable, or which can form itself or together with another consonant a syllable.	
HED_0062077	Vowel	1	Phone		A speech sound which is produced with a relatively open vocal tract and vibration of the vocal cords.	
HED_0062078	Diphthong	2	Vowel		A sound formed by the combination of two vowels.	
HED_0062079	Long-vowel	2	Vowel		A vowel sound that is pronounced in a long form.	
HED_0062080	Short-vowel	2	Vowel		A vowel sound that is pronounced in a short form.	
HED_0062081	Radical	0	Language-item	rooted=Language-item	A graphical component of a Chinese character under which the character is traditionally listed in a Chinese dictionary.	
HED_0062082	Language-item-property	0	Property	rooted=Property, requireChild=True	A property of a language item within a framework of language analysis.	
HED_0062083	Clause-type	1	Language-item-property		The type of a clause.	
HED_0062084	Dependent-clause	2	Clause-type		Containing a subject and verb and cannot be a sentence on its own.	
HED_0062085	Independent-clause	2	Clause-type		Containing a subject and verb but can be a sentence on its own.	
HED_0062086	Grammatical-category	1	Language-item-property		Grammatical category of a word, usually marked through inflection.	
HED_0062087	Aspect	2	Grammatical-category		Non-deictic category of verbal morphology that describes the internal temporal contour of an event and presents it for instance as ongoing or completed.	
HED_0062088	Imperfective-aspect	3	Aspect		Presenting an ongoing or unfolding or repeated or habitual event.	
HED_0062089	Perfective-aspect	3	Aspect		Presenting a completed event.	
HED_0062090	Case	2	Grammatical-category		Formal feature of several word classes (e.g., nouns, pronouns, adjectives, determiners) that identifies their syntactic function.	
HED_0062091	Ablative	3	Case		Used to express motion away from something, among other uses.	
HED_0062092	Accusative	3	Case		Used to indicate the direct object of a transitive verb.	
HED_0062093	Dative	3	Case		Used to indicate the recipient or beneficiary of an action.	
HED_0062094	Genitive	3	Case		Used to indicate attributive relations between nouns among other uses.	
HED_0062095	Nominative	3	Case		Generally marks the subject of a verb, or a predicate nominal or adjective, as opposed to its object, or other verb arguments.	
HED_0062096	Countability	2	Grammatical-category		A grammatical category that determines how the quantity of a concept is expressed.	
HED_0062097	Countable	3	Countability		Syntactic property of nouns that can be modified by quantities (expressed by grammatical number, e.g. singular, plural).	
HED_0062098	Uncountable	3	Countability		Syntactic property of nouns that makes their referents undifferentiated units.	
HED_0062099	Grammatical-number	2	Grammatical-category		Formal feature of several word classes (e.g., nouns, pronouns, adjectives, verbs) that expresses or marks count distinctions, such as one vs. two vs. three or more.	
HED_0062100	Collective	3	Grammatical-number		Not representing a specific number.	
HED_0062101	Dual	3	Grammatical-number		Representing exactly two instances of a concept.	
HED_0062102	Paucal	3	Grammatical-number		Representing a few, or small number of instances of a concept.	
HED_0062103	Plural	3	Grammatical-number		Representing multiple instances of a concept.	
HED_0062104	Singular	3	Grammatical-number		Representing one instance of a concept.	
HED_0062105	Singulative	3	Grammatical-number		Representing one instance of a concept through modifying the standard collective.	
HED_0062106	Trial	3	Grammatical-number		Representing exactly three instances of a concept.	
HED_0062107	Mood	2	Grammatical-category		Non-deictic category of verbal morphology that expresses speakers attitudes as regards the possibility, probability/likelihood, desirability, necessity, factuality etc. of the event.	
HED_0062108	Conditional	3	Mood		Used for speaking of an event whose realization is dependent upon another condition.	
HED_0062109	Imperative	3	Mood		Expresses direct commands, prohibitions, and requests.	
HED_0062110	Progressive	3	Mood		Expresses an incomplete state or action.	
HED_0062111	Subjunctive	3	Mood		Used in dependent clauses to discussing imaginary or hypothetical events and situations, expressing opinions or emotions, or making polite requests, among a broad range of other uses across languages.	
HED_0062112	Noun-class	2	Grammatical-category		Formal category of nouns based on characteristic features of their referents, such as gender, animacy, shape, location or directionality.	
HED_0062113	Tense	2	Grammatical-category		Deictic category of verbal morphology that situates an event (on an imaginary timeline) as either anterior, posterior or simultaneous to a reference point, prototypically time of speech.	
HED_0062114	Future-tense	3	Tense		Referring to an event posterior to time of speech.	
HED_0062115	Future-perfect	4	Future-tense		Referring to a future event relative to another reference point (not the time of speech).	
HED_0062116	Near-future-tense	4	Future-tense		Referring to an event shortly after time of speech.	
HED_0062117	Remote-future-tense	4	Future-tense		Referring to an event in the remote future.	
HED_0062118	Non-future-tense	3	Tense		Referring to both a past or present event.	
HED_0062119	Non-past-tense	3	Tense		Referring to both a present or future event.	
HED_0062120	Past-tense	3	Tense		Referring to an event anterior to time of speech.	
HED_0062121	Pluperfect	4	Past-tense		Referring to a past event relative to another reference point (not the time of speech).	
HED_0062122	Recent-past-tense	4	Past-tense		Referring to an event in the recent past.	
HED_0062123	Remote-past-tense	4	Past-tense		Referring to an event in the distant past.	
HED_0062124	Present-tense	3	Tense		Referring to an event that takes place at time of speech.	
HED_0062125	Language-item-form	1	Language-item-property		The form of a language item.	
HED_0062126	Spoken-form	2	Language-item-form	relatedTag=Canonical-spoken-form	The expression of a language item as a sound produced by a human or artificially made to sound as if produced by a human.	Language-item-form and (relatedTag some Canonical-spoken-form)
HED_0062127	Canonical-spoken-form	3	Spoken-form		The regular spoken form of a language item.	
HED_0062128	Mispronounced-spoken-form	3	Spoken-form		A mispronunciation of a language item which can still be identified.	
HED_0062129	Regional-spoken-form	3	Spoken-form		A spoken form of a language item pronounced with a regional accent.	
HED_0062130	Written-form	2	Language-item-form	relatedTag=Canonical-written-form	The expression of a language item through a system of writing.	Language-item-form and (relatedTag some Canonical-written-form)
HED_0062131	Canonical-written-form	3	Written-form		The accepted spelling of a word in a given language.	
HED_0062132	Incorrect-written-form	3	Written-form		An incorrect written form that does not correspond to the canonical or the pronounced form of a word, but from which the word can still be identified as such.	
HED_0062133	Pseudohomophone-form	3	Written-form		A deliberate generated written-form of a word that is not in accordance with an orthographic system but is pronounced as the word based on direct grapheme to phoneme conversion.	
HED_0062134	Language-item-frequency	1	Language-item-property		The frequency with which a language item occurs in a language, or a particular context for that language e.g. formal, news articles, children's television, etc.	
HED_0062135	Bigram-frequency	2	Language-item-frequency		The frequency with which a bigram occurs in a language, or a particular context for that language e.g. formal, news articles, children's television, etc.	
HED_0062136	Word-frequency	2	Language-item-frequency		The frequency with which a word occurs in a language, or a particular context for that language e.g. formal, news articles, children's television, etc.	
HED_0062137	Language-item-probability	1	Language-item-property		The probability of a specific language item occurring in a specific context.	
HED_0062138	Cloze-probability	2	Language-item-probability		The proportion of people who fill a gap in given sentence with a given word.	
HED_0062139	Lexical-role	1	Language-item-property		The role a language item takes in a vocabulary, like part of speech.	
HED_0062140	Adjective	2	Lexical-role		A word that describes or defines a noun or noun phrase.	
HED_0062141	Adposition	2	Lexical-role		Accompanying an noun to express a spatial or temporal relation.	
HED_0062142	Circumposition	3	Adposition		Appearing before and after a noun or noun phrase expressing spatial or temporal relation to another word or element in the clause.	
HED_0062143	Postposition	3	Adposition		Appearing after a noun or noun phrase expressing a spatial or temporal relation to another word or element in the clause.	
HED_0062144	Preposition	3	Adposition		Preceding a noun or noun phrase expressing a spatial or temporal relation to another word or element in the clause.	
HED_0062145	Adverb	2	Lexical-role		Modifying or qualifying an adjective, verb, or other adverb or a word group, expressing a relation of place, time, circumstance, manner, cause, degree, etc.	
HED_0062146	Classifier	2	Lexical-role		An item that accompanies nouns and can be considered to classify a noun depending on the type of its referent.	
HED_0062147	Conjunction	2	Lexical-role		Connecting clauses or sentences or to coordinate words in the same clause.	
HED_0062148	Complementizer	3	Conjunction		Marks a finite or non- finite clause as functioning as a complement.	
HED_0062149	Coordinating-conjunction	3	Conjunction		Coordinates elements that are equal to each other.	
HED_0062150	Negation-word	3	Conjunction		Expressing falsity of a clause or sentence.	
HED_0062151	Determiner	2	Lexical-role		Determining the kind of reference a noun or noun group has.	
HED_0062152	Article	3	Determiner		A class of dedicated words that are used with noun phrases to mark the identifiability of the referents of the noun phrases.	
HED_0062153	Possessive-determiner	3	Determiner		Determining the ownership of a noun or noun phrase.	
HED_0062154	Interjection	2	Lexical-role		A word or expression that occurs as an utterance on its own and expresses a spontaneous feeling or reaction.	
HED_0062155	Noun	2	Lexical-role		Referring to a specific object or set of objects (living creatures, places, actions, qualities, states of existence, ideas etc.	
HED_0062156	Numeral	2	Lexical-role		Expressing a number or relation to a number.	
HED_0062157	Particle	2	Lexical-role		Must be associated with another word or phrase to impart meaning.	
HED_0062158	Pronoun	2	Lexical-role		A word or a group of words that may stand for a noun or noun phrase.	
HED_0062159	Demonstrative-pronoun	3	Pronoun		Pronoun used to indicate which entities are being referred to and to distinguish those entities from others.	
HED_0062160	Indefinite-pronoun	3	Pronoun		Pronoun lacking a specific referent or having generic meaning.	
HED_0062161	Interrogative-pronoun	3	Pronoun		Pronoun which prompts a question.	
HED_0062162	Personal-pronoun	3	Pronoun		Pronoun associated with a grammatical person.	
HED_0062163	Possessive-pronoun	3	Pronoun		Pronoun referring to the possession of a grammatical person.	
HED_0062164	Reflexive-pronoun	3	Pronoun		Pronoun that refers to another noun or pronoun within the same sentence.	
HED_0062165	Relative-pronoun	3	Pronoun		Pronoun that marks a relative clause.	
HED_0062166	Quantifier	2	Lexical-role		Expressing a reference definite or indefinite number or amount.	
HED_0062167	Verb	2	Lexical-role	suggestedTag=Tense, suggestedTag=Mood, suggestedTag=Aspect	Generally conveying an action, occurrence, or state of being and makes up the main part of the predicate of a sentence.	Lexical-role and (suggestedTag some Tense) and (suggestedTag some Mood) and (suggestedTag some Aspect)
HED_0062168	Auxiliary-verb	3	Verb		A verb devoid of lexical content that combines with another verb to realize certain grammatical functions (e.g. expression of tense, passive voice, negation, interrogation).	
HED_0062169	Modal-verb	4	Auxiliary-verb		An auxiliary verb that combines with another verb and expresses necessity, wish or possibility.	
HED_0062170	Intransitive-verb	3	Verb		A verb that does not require an object.	
HED_0062171	Psychological-verb	3	Verb		A verb that takes two arguments, an experiencer and a theme.	
HED_0062172	Transitive-verb	3	Verb	suggestedTag=Object	A verb that requires one or more objects to receive the action.	Verb and (suggestedTag some Object)
HED_0062173	Unaccusative-verb	3	Verb		An intransitive verb whose subject is a theme (i.e. affected by the process the verb expresses).	
HED_0062174	Unergative-verb	3	Verb		An intransitive verb whose subject is an agent.	
HED_0062175	Morpheme-property	1	Language-item-property		A property of a morpheme.	
HED_0062176	Morpheme-function	2	Morpheme-property		The function of a morpheme.	
HED_0062177	Inflective-morphological-function	3	Morpheme-function	suggestedTag=Grammatical-category	Changing the grammatical function.	Morpheme-function and (suggestedTag some Grammatical-category)
HED_0062178	Conjugate	4	Inflective-morphological-function		Identifying the voice, mood, tense, number, gender, and person of a verb.	
HED_0062179	Decline	4	Inflective-morphological-function		Marking the number, case, gender, or class of nouns, pronouns, adjectives, and articles.	
HED_0062180	Word-formation-function	3	Morpheme-function		Creating a new word.	
HED_0062181	Compound	4	Word-formation-function		To join with another free morpheme to form a more complex word.	
HED_0062182	Derivation	4	Word-formation-function		Changing the meaning of a word, usually by adding an affix.	
HED_0062183	Change-word-class	5	Derivation	suggestedTag=Lexical-role	Changing the word class or part of speech a word belongs to.	Derivation and (suggestedTag some Lexical-role)
HED_0062184	Morpheme-type	2	Morpheme-property		The type of a morpheme.	
HED_0062185	Bound-morpheme-type	3	Morpheme-type		A morpheme type that cannot be a word itself, such as prefixes and suffixes.	
HED_0062186	Free-morpheme-type	3	Morpheme-type		A morpheme type that can function as a word.	
HED_0062187	Morphological-position	2	Morpheme-property		The position a morpheme takes relative to the free morpheme of a word.	
HED_0062188	Affix	3	Morphological-position		A morpheme that is attached to a word stem to form a new word or word form.	
HED_0062189	Circumfix	3	Morphological-position		Position of a morpheme split in two parts, one placed at the start of a word, the other at the end.	
HED_0062190	Infix	3	Morphological-position		Position of a morpheme in the middle of a word.	
HED_0062191	Non-concatenative-morphology	3	Morphological-position		Process of word formation and inflection in which the stem may be modified (without stringing morphemes together sequentially).	
HED_0062192	Apophony	4	Non-concatenative-morphology		Regular vowel variation.	
HED_0062193	Clitic-morphological-position	4	Non-concatenative-morphology		A morpheme that has syntactic characteristics of a word, but which is phonologically dependent on another word.	
HED_0062194	Conversion	4	Non-concatenative-morphology		No change (where a morphological change might be expected based on regular grammar).	
HED_0062195	Reduplication	4	Non-concatenative-morphology		Duplication of all or part of the root word.	
HED_0062196	Transfixation	4	Non-concatenative-morphology		Interdigitation of vowel and consonant morphemes.	
HED_0062197	Truncation	4	Non-concatenative-morphology		Removal of phonological material from root.	
HED_0062198	Prefix	3	Morphological-position		Position of a morpheme at the beginning of a word.	
HED_0062199	Suffix	3	Morphological-position		Position of a morpheme at the end of a word.	
HED_0062200	Orthographic-neighborhood-size	1	Language-item-property		The number of closely resembling word-forms.	
HED_0062201	Phrase-role	1	Language-item-property		The role of phrase.	
HED_0062202	Adjective-phrase	2	Phrase-role		Headed by an adjective.	
HED_0062203	Adpostional-phrase	2	Phrase-role		Consisting of an adposition and its complement.	
HED_0062204	Postpositional-phrase	3	Adpostional-phrase		Consisting of a postposition and its complement.	
HED_0062205	Prepositional-phrase	3	Adpostional-phrase		Consisting of a preposition and its complement.	
HED_0062206	Adverb-phrase	2	Phrase-role		Functioning as an adverb in a sentence.	
HED_0062207	Noun-phrase	2	Phrase-role		Functioning in a sentence as subject, object, or prepositional object.	
HED_0062208	Verb-phrase	2	Phrase-role		Containing the verb and any direct or indirect object, but not the subject.	
HED_0062209	Syntactic-role	1	Language-item-property		Role a language-item takes in syntax.	
HED_0062210	Complement	2	Syntactic-role		The constituent selected by a head.	
HED_0062211	Syntactic-object	3	Complement		Complement of a verbal head.	
HED_0062212	Direct-syntactic-object	4	Syntactic-object		A constituent which receives the action of the verb or comes into existence by this action.	
HED_0062213	Indirect-syntactic-object	4	Syntactic-object		A constituent representing a secondary or passive participant, often a goal, a beneficiary or an experiencer.	
HED_0062214	Modifier	2	Syntactic-role		Optional element in a phrase or a clause that specifies a noun or acts as an adjunct.	
HED_0062215	Adjunct	3	Modifier		Optional element in a clause or sentence that provides information about the temporal, local (etc.) circumstances under which an event occurred.	
HED_0062216	Predicate	2	Syntactic-role		Basic constituent of a clause that expresses a property or condition of the subject or an action performed by it.	
HED_0062217	Secondary-predicate	3	Predicate		Adjectival or prepositional predicate that is not the main (verbal) predicate of the clause and refers to the subject or the object, as either depictive (indicating a state) or resultative (indicating the event's result on the object).	
HED_0062218	Subject	2	Syntactic-role		Basic constituent of a clause about which something is said; typically, but not necessarily, associated with a specific case (most often nominative).	
HED_0062219	Syntactic-Head	2	Syntactic-role		Word that determines the syntactic category of a phrase.	
HED_0062220	Language-property	0	Property	rooted=Property	A property relating to a system of communication used by a particular group of people.	
HED_0062221	Morphological-language-type	1	Language-property		Morphological property relating to a specific system of communication used by a particular group of people.	
HED_0062222	Analytic-language-type	2	Morphological-language-type		Rarely using affixes, resulting in a low morpheme per word ratio.	
HED_0062223	Morphological-isolating-type	3	Analytic-language-type		Having a morpheme per word ratio close to one.	
HED_0062224	Morphological-polysynthetic-type	2	Morphological-language-type		Can encode multiple constituents such as subject, verb, object, etc. into a single word.	
HED_0062225	Morphological-synthetic-type	2	Morphological-language-type		Having a higher morpheme per word ratio.	
HED_0062226	Morphological-agglutinating-type	3	Morphological-synthetic-type		Words are formed by stringing together morphemes whereby each one corresponds to a single grammatical feature.	
HED_0062227	Morphological-fusional-type	3	Morphological-synthetic-type		Have a tendency to use a single inflectional morpheme to denote multiple grammatical, syntactic, or semantic features.	
HED_0062228	Orthographic-type	1	Language-property		The type of language item each symbol serves to represent in written language.	
HED_0062229	Logographic-type	2	Orthographic-type		Representing an entire spoken word per character.	
HED_0062230	Segmental-or-Alphabetic-type	2	Orthographic-type		Representing approximately phoneme per character.	
HED_0062231	Deep-orthographical-type	3	Segmental-or-Alphabetic-type		Not having a one-to-one correspondence between sounds (phonemes) and the letters (graphemes) that represent them.	
HED_0062232	Shallow-orthographic-type	3	Segmental-or-Alphabetic-type		Having a one-to-one correspondence between sounds (phonemes) and the letters (graphemes) that represent them.	
HED_0062233	Syllabary-type	2	Orthographic-type		Representing one syllable or mora per character.	
HED_0062234	Linguistic-relation	0	Relation	rooted=Relation	Related based on a linguistic property to.	
HED_0062235	Grammatical-relation	1	Linguistic-relation		Grammatical relationship between language items.	
HED_0062236	Agreement-with	2	Grammatical-relation		Inflectional adjustment to match grammatical category (e.g. case, number, gender) of.	
HED_0062237	Orthographic-relatedness-to	1	Linguistic-relation		Connected on the basis of writing or spelling.	
HED_0062238	Orthographic-distance-to	2	Orthographic-relatedness-to		Removed in orthographic or written form (e.g. a measure of how far cat is removed from rat in orthography).	
HED_0062239	Hamming-distance-to	3	Orthographic-distance-to		The minimum number of substitutions required to change one string into another string of equal length.	
HED_0062240	Hamming-distance-to-#	4	Hamming-distance-to	takesValue=true, valueClass=numericClass	Integers 0 and up.	Hamming-distance-to and (valueClass some numericClass)
HED_0062241	Levenshtein-distance-to	3	Orthographic-distance-to		The minimum number of single-character edits to change into.	
HED_0062242	Levenshtein-distance-to-#	4	Levenshtein-distance-to	takesValue=true, valueClass=numericClass	Integers 0 and up.	Levenshtein-distance-to and (valueClass some numericClass)
HED_0062243	Phonological-relatedness-to	1	Linguistic-relation		Connected on the basis of sound.	
HED_0062244	Phonological-distance-to	2	Phonological-relatedness-to		Removed in sounding from.	
HED_0062245	Phonological-Levenshtein-distance-to	3	Phonological-distance-to		The minimum number of single-phoneme edits to change into.	
HED_0062246	Phonological-Levenshtein-distance-to-#	4	Phonological-Levenshtein-distance-to	takesValue=true, valueClass=numericClass	Integers 0 and up.	Phonological-Levenshtein-distance-to and (valueClass some numericClass)
HED_0062247	Semantic-relatedness-to	1	Linguistic-relation		Connected on the basis of meaning to.	
HED_0062248	Antonymous-to	2	Semantic-relatedness-to		Meaning the opposite as.	
HED_0062249	Semantic-distance-to	2	Semantic-relatedness-to		Removed in meaning from.	
HED_0062250	Semantic-distance-to-#	3	Semantic-distance-to			
HED_0062251	Synonymous-to	2	Semantic-relatedness-to		Meaning exactly or nearly the same as.	
